运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,上传密文字节,上传明文字节,上传元数据字节,上传合计字节,下发密文字节,下发明文字节,下发元数据字节,下发合计字节,聚合阶段总网络字节
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,17,base_model.model.model.layers.12.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
