运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,密文元素数,明文元素数,交叉块数值秩,交叉块条件数,逆方法
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,10187.623586465936,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,709487.1958338993,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,22520.312535021556,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,8312.297641420713,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,1381.627450034784,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,31073.47437154709,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,10038.576789993565,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,9051.83902322881,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,7013.8740365433405,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,4092.5129027328617,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,31170.248844040467,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,12301.04919668857,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,4391.321208010016,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,72204.00106818805,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,950.8829048607499,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,36684.12211959465,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,5943.327865040122,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,17,base_model.model.model.layers.12.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,28932.307888761035,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,3645.200167242848,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,190974.61691019038,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,2797.2345699400457,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,21,base_model.model.model.layers.13.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,22166.252590098546,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,22,base_model.model.model.layers.13.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,2061.079768397981,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,23,base_model.model.model.layers.13.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,97649.46542047423,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,1403.512838478713,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,25,base_model.model.model.layers.14.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,1651.6723095848195,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,4747.780763828171,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,27,base_model.model.model.layers.14.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,7584.763573021155,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,2423.5568486245465,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,29,base_model.model.model.layers.15.self_attn.o_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,9925.856702424971,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,3784.296145948846,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,123450.27455475745,inv
20260721-191047-real-d3200-plain-plain_baseline-none-skeleton,32,base_model.model.model.layers.16.self_attn.k_proj.lora.default,明文参考,plain_baseline,N/A,开,3200,3200,可行,正常,明文 skeleton CUR,0,102144,16,7308.1069328176445,inv
